GHI,Festivo,Gas,PotenciaViento,Precios,Ano,Mes,Dia,Hora,GMT
4640,0,16.89,23667,51.6,2016,1,22,10,1
6509,0,16.89,23064,51.45,2016,1,22,11,1
7372,0,16.89,21367,51,2016,1,22,12,1
7561,0,16.89,21549,52,2016,1,22,13,1
7527,0,16.89,19175,51.51,2016,1,22,14,1
6771,0,16.89,17137,50.1,2016,1,22,15,1
5590,0,16.89,15009,50.1,2016,1,22,16,1
3356,0,16.89,14035,49.64,2016,1,22,17,1
1144,0,16.89,14731,53.1,2016,1,22,18,1
389,0,16.89,14841,54,2016,1,22,19,1
380,0,16.89,15772,53.78,2016,1,22,20,1
274,0,16.89,16633,53.1,2016,1,22,21,1
166,0,16.89,17011,51.6,2016,1,22,22,1
168,0,16.89,15872,44.49,2016,1,22,23,1
167,0,16.62,17070,46.1,2016,1,23,0,1
